Blog,Recipe,Link,Time,Ingredients
Two peas and their pod,Vegetarian Taco Skillet,https://www.twopeasandtheirpod.com/vegetarian-taco-skillet/,10 mins,"['olive oil', 'onion', 'red bell pepper,', 'garlic,', 'quinoa,', 'vegetable broth', 'fire roasted tomatoes', 'mild green chiles', 'chili powder', 'ground cumin', 'smoked paprika', 'dried oregano', 'kosher salt', 'black pepper', 'black beans,', 'frozen corn', 'chopped cilantro', 'shredded mexican blend or cheddar cheese', 'optional toppings: sliced green onions,', 'tortilla chips, salsa or pico de gallo,']"
Two peas and their pod,Pasta Fagioli,https://www.twopeasandtheirpod.com/pasta-fagioli/,10 mins,"['olive oil', 'small yellow onion', 'medium carrot', 'celery stalk', 'garlic', 'bay leaves', '(15 oz) cans diced tomatoes', '(14.5 oz) cans vegetable broth', '(14 oz) cans cannellini beans, rinsed and drained', 'small parmesan rind', 'dried thyme', 'dried basil', 'dried rosemary', 'dash of crushed red pepper', 'dried ditalini or other small pasta', 'chopped flat-leaf parsley', 'grated parmesan cheese']"
Two peas and their pod,Lentil Salad,https://www.twopeasandtheirpod.com/lentil-salad/,5 mins,"['uncooked green lentils,', 'water', 'bay leaf', 'english cucumber,', 'red bell pepper,', 'small red onion,', 'chopped italian parsley', 'chopped fresh mint leaves', 'crumbled feta cheese,', 'olive oil', 'lemon zest', 'fresh lemon juice', 'dijon mustard', 'honey or pure maple syrup', 'garlic,', 'kosher salt and black pepper,']"
Two peas and their pod,Tzatziki Sauce,https://www.twopeasandtheirpod.com/tzatziki-sauce/,10 mins,"['medium english cucumber', 'plain greek yogurt', 'garlic cloves,', 'tablespoons fresh lemon juice,', 'olive oil', 'chopped fresh dill', 'sea salt', 'freshly ground black pepper', 'pita bread,']"
Two peas and their pod,Citrus Salad,https://www.twopeasandtheirpod.com/citrus-salad/,15 mins,"['olive oil', 'fresh orange juice', 'fresh lemon juice', 'champagne vinegar or white balsamic vinegar', 'honey', 'dijon mustard', 'sea salt and black pepper,', 'blood oranges', 'cara cara or navel oranges', 'pink grapefruit', 'arugula', 'avocados,', 'pistachios,', 'pomegranate arils', 'chopped fresh mint leaves,']"
Two peas and their pod,Easy Minestrone Soup,https://www.twopeasandtheirpod.com/easy-minestrone-soup/,15 mins,"['olive oil', 'small onion,', 'garlic,', 'carrots,', 'celery ribs,', 'medium zucchini,', 'fresh or frozen green beans', 'diced tomatoes', 'vegetable broth', 'can cannellini beans,', 'dried basil', 'dried oregano', 'dried thyme', 'elbow macaroni', 'salt and black pepper,', 'parmesan cheese and fresh basil,']"
Two peas and their pod,Turkey Tacos,https://www.twopeasandtheirpod.com/turkey-tacos/,5 mins,"['olive oil', 'small onion,', 'lean ground turkey', 'garlic,', 'tomato sauce', 'water', 'ground chili powder', 'ground cumin', 'smoked paprika', 'dried oregano', 'kosher salt', 'black pepper', 'mild green chiles', 'corn or flour tortillas,', 'toppings: shredded cheese,']"
Two peas and their pod,Roasted Vegetables,https://www.twopeasandtheirpod.com/roasted-vegetables/,10 mins,"['any vegetables', 'olive oil or avocado oil', 'kosher salt and freshly ground black pepper,']"
Two peas and their pod,Lentil Soup,https://www.twopeasandtheirpod.com/recipe-for-vegetarian-lentil-soup/,10 mins,"['olive oil', 'yellow onion,', 'carrots,', 'celery ribs,', 'red bell pepper,', 'garlic cloves,', 'dried bay leaves', 'ground cumin', 'ground coriander', 'smoked paprika', 'dried thyme', 'fire roasted diced tomatoes', 'vegetable broth', 'brown or green lentils,', 'salt,', 'black pepper,', 'dash of crushed red pepper flakes or pinch of cayenne,', 'roughly chopped fresh spinach', 'fresh lemon juice']"
Two peas and their pod,Beef and Broccoli,https://www.twopeasandtheirpod.com/beef-and-broccoli/,10 mins,"['flank steak,', 'cornstarch', 'vegetable oil', 'kosher salt and black pepper,', 'light soy sauce', 'honey', 'garlic,', 'orange zest', 'fresh ginger', 'cornstarch', 'sesame oil', 'yellow onion,', 'broccoli florets', 'sesame seeds,']"
Two peas and their pod,Sweet Potato Soup,https://www.twopeasandtheirpod.com/sweet-potato-soup/,10 mins,"['olive oil', 'onion,', 'carrot,', 'celery rib,', 'orange bell pepper,', 'garlic,', 'bay leaf', 'sweet potatoes,', 'vegetable broth', 'smoked paprika', 'ground coriander', 'dried thyme', 'kosher salt and black pepper,', 'coconut milk']"
Two peas and their pod,Vegetable Soup,https://www.twopeasandtheirpod.com/vegetable-soup/,20 mins,"['olive oil', 'medium yellow onion,', 'carrots,', 'celery ribs,', 'garlic,', 'red bell pepper,', 'medium zucchini,', 'yukon gold potatoes,', 'cans vegetable broth', 'diced tomatoes', 'bay leaves', 'dried thyme', 'dried basil', 'kosher salt', 'black pepper', 'frozen green beans', 'frozen corn', 'frozen peas']"
Two peas and their pod,Easy Chickpea Curry,https://www.twopeasandtheirpod.com/easy-chickpea-curry/,10 mins,"['olive oil or coconut oil', 'yellow onion,', 'garlic,', 'grated fresh ginger', 'fire roasted tomatoes', 'curry powder', 'garam masala', 'ground turmeric', 'kosher salt', 'black pepper', 'of cayenne pepper', 'cans chickpeas,', 'coconut milk', 'fresh spinach', 'rice and/or naan bread,']"
Two peas and their pod,Split Pea Soup,https://www.twopeasandtheirpod.com/split-pea-soup/,15 mins,"['olive oil', 'yellow onion,', 'celery ribs,', 'garlic,', 'bay leaves', 'dried thyme', 'dried rosemary', 'chicken broth or stock', 'dried green split peas,', 'ham hocks', 'kosher salt and black pepper,', 'small carrots,', 'chopped cooked ham,', 'chopped fresh parsley,']"
