Blog,Recipe,Link,Time,Ingredients
Pinch of Yum,Favorite Browned Butter Chocolate Chip Cookies,https://pinchofyum.com/browned-butter-chocolate-chip-cookies,1 hour 5 minutes,"['unsalted butter', 'white sugar', 'brown sugar', 'vanilla', 'eggs', 'flour', 'baking soda', 'baking powder', 'salt', 'chocolate chips or chocolate chunks']"
Pinch of Yum,Sweet Potato Gnocchi with Broccoli Rabe and Garlic Sage Butter Sauce,https://pinchofyum.com/sweet-potato-gnocchi,40 minutes,"['sweet potato', 'whole milk ricotta cheese', 'parmesan cheese', 'salt', 'flour', 'broccoli rabe', 'butter', 'heavy cream', 'garlic', 'sage leaves', 'sea salt', 'parmesan cheese']"
Pinch of Yum,Sarah’s White Chicken Chili,https://pinchofyum.com/sarahs-white-chicken-chili,40 minutes,"['bacon', 'jalapeños', 'yellow onion', 'garlic', 'cumin', 'chili powder', 'chicken broth', 'diced tomatoes with green chiles', 'boneless skinless chicken thighs', 'pinto beans', 'black beans', 'cream cheese']"
Pinch of Yum,The Best Detox Crockpot Lentil Soup,https://pinchofyum.com/the-best-detox-crockpot-lentil-soup,6 hours 30 minutes,"['butternut squash', 'carrots', 'potatoes', 'celery', 'green lentils', 'yellow split peas', 'onion', 'garlic', 'vegetable or chicken broth', 'herbs de provence', 'salt', 'kale', 'parsley', 'olive oil', 'sherry', 'red wine vinegar', 'lemon juice']"
Pinch of Yum,The Best Soft Chocolate Chip Cookies,https://pinchofyum.com/the-best-soft-chocolate-chip-cookies,20 minutes,"['salted butter', 'white sugar', 'light brown sugar', 'vanilla', 'egg', 'all purpose flour', 'baking soda', 'salt', 'chocolate chips']"
Pinch of Yum,Sheet Pan Jambalaya,https://pinchofyum.com/sheet-pan-jambalaya,50 minutes,"['kielbasa sausage', 'onion', 'red bell pepper', 'olive oil', 'cajun seasoning', 'tomato paste', 'cauliflower rice', 'sea salt', 'black pepper', 'wild-caught shrimp', 'melted butter', 'fresh parsley', 'lemon juice']"
Pinch of Yum,Arroz Con Pollo,https://pinchofyum.com/arroz-con-pollo,1 hour,"['olive oil', 'boneless skinless chicken thighs', 'kosher salt', 'garlic', 'shallot', 'jalapeño', 'serrano pepper', 'bell pepper', 'tomato paste', 'ground cumin', 'allspice', 'fresh thyme', 'light beer', 'crushed tomatoes', 'chicken broth', 'bay leaf', 'white rice', 'green olives', 'fresh cilantro', 'lime juice']"
Pinch of Yum,Super Moist Pumpkin Bread,https://pinchofyum.com/super-moist-pumpkin-bread,55 minutes,"['eggs', 'vegetable oil', 'olive oil', 'white sugar', 'pumpkin', 'milk', 'water', 'all purpose flour', 'baking soda', 'salt', 'cinnamon', 'melted butter', 'turbinado sugar']"
Pinch of Yum,Baked Shrimp with Feta and Grilled Sourdough,https://pinchofyum.com/baked-shrimp-with-feta-with-grilled-sourdough,35 minutes,"['olive oil', 'shallot', 'bell pepper', 'garlic', 'crushed tomatoes', 'chicken', 'vegetable broth', 'red pepper flakes', 'salt', 'shrimp', 'feta cheese', 'parsley', 'lemon wedges', 'sourdough bread', 'butter']"
Pinch of Yum,Simple Homemade Tomato Soup,https://pinchofyum.com/simple-homemade-tomato-soup,1 hour,"['bacon', 'carrots', 'yellow onion', 'garlic', 'tomato paste', 'flour', 'chicken broth', 'dried thyme', 'bay leaf', 'whole san marzano tomatoes', 'cream', 'kosher salt']"
